municipality,health_region_code_2024,health_region_name_2024,health_region_code_current,health_region_name_current,_merge
211163,21010,Pedreiras,21004,BARRA DO CORDA,both
310420,31087,Lagoa da Prata/Santo Antônio do Monte,31030,FORMIGA,both
311980,31030,Formiga,31028,BOM DESPACHO,both
312680,31096,Itambacuri,31099,TEOFILO OTONI/MALACACHETA,both
312695,31102,Peçanha/São João Evangelista/Santa Maria do,31026,DIAMANTINA/ITAMARANDIBA,both
314960,31024,Sete Lagoas,31032,PARA DE MINAS/NOVA SERRANA,both
316390,31002,Guaxupé,31092,PASSOS,both
