health_region_code,name,uf,capacity,legacy_suicide_asmr,corrected_suicide_asmr,delta_suicide_asmr,legacy_suicide_percentile,corrected_suicide_percentile,delta_suicide_percentile,legacy_need,corrected_need,delta_need,legacy_mismatch,corrected_mismatch,delta_mismatch,legacy_lisa,corrected_lisa,legacy_radar_families,corrected_radar_families,flags
11001,Vale do Jamari,RO,0.2450532724505326,9.02224156642051,9.272870113829764,0.25062854740925467,0.5525114155251142,0.5593607305936074,0.006849315068493178,0.4406392694063927,0.4440639269406393,0.003424657534246589,0.19558599695586,0.1990106544901067,0.0034246575342467,not_significant,not_significant,CAPACITY_LOW;CAPACITY_COMPONENT_LOW,CAPACITY_LOW;CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
11002,Café,RO,0.4923896499238965,8.850876480100617,8.85397320301563,0.0030967229150142828,0.5251141552511416,0.5114155251141552,-0.013698630136986356,0.4646118721461187,0.4577625570776256,-0.0068493150684931225,-0.0277777777777777,-0.03462709284627091,-0.006849315068493213,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
11003,Central,RO,0.4330289193302892,9.390454985270456,9.393740494587037,0.0032855093165817806,0.591324200913242,0.5776255707762558,-0.013698630136986245,0.5125570776255708,0.5057077625570776,-0.006849315068493178,0.0795281582952815,0.07267884322678841,-0.006849315068493081,high-high,high-high,CAPACITY_COMPONENT_LOW;SPATIAL_HH_MISMATCH,CAPACITY_COMPONENT_LOW;SPATIAL_HH_MISMATCH,
11004,Madeira-Mamoré,RO,0.4512937595129376,7.209200587540715,7.2450183787840405,0.035817791243325736,0.319634703196347,0.3127853881278539,-0.0068493150684931225,0.4977168949771689,0.4942922374429224,-0.0034246575342465335,0.0464231354642313,0.04299847792998479,-0.0034246575342465058,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
11005,Zona da Mata,RO,0.2427701674277017,10.912446677263304,10.916264697293334,0.003818020030029956,0.7511415525114156,0.7420091324200914,-0.0091324200913242,0.6769406392694064,0.6723744292237444,-0.004566210045662045,0.4341704718417046,0.42960426179604266,-0.004566210045661934,not_significant,not_significant,CAPACITY_LOW;MISMATCH_MARKED_POSITIVE;CAPACITY_COMPONENT_LOW,CAPACITY_LOW;MISMATCH_MARKED_POSITIVE;CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
11006,Cone Sul,RO,0.6164383561643836,8.692954266258216,9.319347356720087,0.6263930904618711,0.4977168949771689,0.5707762557077626,0.07305936073059366,0.6015981735159818,0.6381278538812786,0.0365296803652968,-0.0148401826484018,0.02168949771689499,0.03652968036529679,not_significant,not_significant,,,
11007,Vale do Guaporé,RO,0.1073059360730593,11.74896422840798,11.753074927143366,0.00411069873538672,0.8356164383561644,0.8310502283105022,-0.004566210045662156,0.519406392694064,0.5171232876712328,-0.0022831050228311334,0.4121004566210046,0.40981735159817356,-0.0022831050228310223,not_significant,not_significant,CAPACITY_LOW;MISMATCH_MARKED_POSITIVE;CAPACITY_COMPONENT_LOW,CAPACITY_LOW;MISMATCH_MARKED_POSITIVE;CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
12001,Alto Acre,AC,0.3470319634703196,8.299196972859919,8.302100675504494,0.00290370264457529,0.454337899543379,0.4383561643835616,-0.01598173515981738,0.3401826484018265,0.33219178082191775,-0.007990867579908745,-0.0068493150684931,-0.014840182648401867,-0.007990867579908767,low-high,low-high,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
12002,Baixo Acre e Purus,AC,0.3515981735159817,12.241839071107254,12.246122215681538,0.004283144574284137,0.8744292237442922,0.863013698630137,-0.011415525114155223,0.8333333333333333,0.8276255707762556,-0.005707762557077611,0.4817351598173515,0.47602739726027393,-0.005707762557077556,not_significant,not_significant,NEED_HIGH;MISMATCH_MARKED_POSITIVE;CAPACITY_COMPONENT_LOW,NEED_HIGH;MISMATCH_MARKED_POSITIVE;CAPACITY_COMPONENT_LOW,
12003,Juruá e Tarauacá/Envira,AC,0.3006088280060883,10.98998065058332,10.993825798009423,0.0038451474261034235,0.7579908675799086,0.7488584474885844,-0.0091324200913242,0.5410958904109588,0.5365296803652968,-0.004566210045662045,0.2404870624048705,0.2359208523592085,-0.004566210045661989,high-high,high-high,CAPACITY_COMPONENT_LOW;SPATIAL_HH_MISMATCH,CAPACITY_COMPONENT_LOW;SPATIAL_HH_MISMATCH,ZERO_REGISTERED_BEDS
