import time: self [us] | cumulative | imported package
import time:       451 |       5188 |           anyio._core._subprocesses
import time:       109 |        109 |                 zlib
import time:       665 |        665 |                   _compression
import time:       256 |        256 |                   _bz2
import time:       610 |       1530 |                 bz2
import time:       127 |        127 |                   _lzma
import time:       573 |        700 |                 lzma
import time:      1537 |       3875 |               shutil
import time:        35 |         35 |                   _bisect
import time:       562 |        597 |                 bisect
import time:        84 |         84 |                 _random
import time:      1586 |       2266 |               random
import time:      1282 |       7421 |             tempfile
import time:       791 |       8212 |           anyio._core._tempfile
import time:       600 |      74320 |         anyio
import time:      5959 |       5959 |                       typing_extensions
import time:      1504 |       1504 |                       pydantic_core._pydantic_core
import time:       733 |        733 |                             numbers
import time:      1684 |       2417 |                           _decimal
import time:      1025 |       3442 |                         decimal
import time:    994980 |     998421 |                       pydantic_core.core_schema
import time:       742 |    1006625 |                     pydantic_core
import time:       578 |    1007203 |                   pydantic.version
import time:       615 |    1007817 |                 pydantic.warnings
import time:       720 |    1008537 |               pydantic._migration
import time:    719188 |     719188 |                   typing_inspection
import time:   1083043 |    1083043 |                   typing_inspection.typing_objects
import time:    739869 |    2542099 |                 typing_inspection.introspection
import time:    737004 |     737004 |                 pydantic._internal
import time:    857298 |     857298 |                     pydantic._internal._namespace_utils
import time:   1253488 |    2110785 |                   pydantic._internal._typing_extra
import time:    649846 |    2760630 |                 pydantic._internal._repr
import time:    732062 |    6771794 |               pydantic.errors
import time:       663 |    7780993 |             pydantic
import time:       667 |        667 |                 pydantic._internal._internal_dataclass
import time:    722594 |     723261 |               pydantic.aliases
import time:   1871513 |    1871513 |               pydantic.config
import time:   1071747 |    3666520 |             pydantic._internal._config
import time:      7379 |       7379 |               pydantic._internal._core_utils
import time:      2874 |       2874 |                 pydantic._internal._import_utils
import time:    949298 |     952172 |               pydantic._internal._utils
import time:   1431566 |    2391116 |             pydantic._internal._decorators
import time:      3814 |       3814 |                 pydantic._internal._forward_ref
import time:   1516205 |    1520019 |               pydantic._internal._generics
import time:    776685 |     776685 |               pydantic._internal._docs_extraction
import time:    895373 |    3192076 |             pydantic._internal._fields
import time:    994487 |     994487 |                 pydantic.plugin
import time:    781001 |    1775488 |               pydantic.plugin._schema_validator
import time:   1912861 |    3688348 |             pydantic._internal._mock_val_ser
import time:      3041 |       3041 |                 fractions
import time:       729 |        729 |                   _uuid
import time:       711 |       1440 |                 uuid
import time:      2294 |       2294 |                     sysconfig
import time:      1657 |       1657 |                     _sysconfigdata__darwin_darwin
import time:       876 |        876 |                     _osx_support
import time:      3405 |       8231 |                   zoneinfo._tzpath
import time:       341 |        341 |                   zoneinfo._common
import time:       795 |        795 |                   _zoneinfo
import time:      1014 |      10379 |                 zoneinfo
import time:   1544082 |    1544082 |                 pydantic.annotated_handlers
import time:    938616 |     938616 |                 pydantic.functional_validators
import time:      1279 |       1279 |                   pydantic._internal._core_metadata
import time:    671433 |     671433 |                   pydantic._internal._schema_generation_shared
import time:    828154 |    1500866 |                 pydantic.json_schema
import time: 142883173 |  142883173 |                 pydantic._internal._discriminated_union
import time:   1416218 |  148297812 |               pydantic._internal._generate_schema
import time:    763557 |  149061368 |             pydantic._internal._model_construction
import time:   1342591 |  171123009 |           fastapi.exceptions
import time:       708 |  171123716 |         fastapi.params
import time:      3316 |  171233790 |       fastapi.routing
import time:      2221 |  171240478 |     fastapi.applications
import time:      1950 |  171247293 |   fastapi
import time:      4661 |  171259089 | api.main
Traceback (most recent call last):
  File "<string>", line 1, in <module>
    import api.main; print('IMPORT_OK')
    ^^^^^^^^^^^^^^^
  File "/Users/brenoherculano/Documents/New project/mente-do-brasil/api/main.py", line 5, in <module>
    from fastapi import FastAPI, HTTPException
  File "/Users/brenoherculano/Documents/New project/mente-do-brasil/.venv/lib/python3.13/site-packages/fastapi/__init__.py", line 7, in <module>
  File "/Users/brenoherculano/Documents/New project/mente-do-brasil/.venv/lib/python3.13/site-packages/fastapi/applications.py", line 7, in <module>
  File "/Users/brenoherculano/Documents/New project/mente-do-brasil/.venv/lib/python3.13/site-packages/fastapi/routing.py", line 45, in <module>
  File "/Users/brenoherculano/Documents/New project/mente-do-brasil/.venv/lib/python3.13/site-packages/fastapi/params.py", line 7, in <module>
  File "/Users/brenoherculano/Documents/New project/mente-do-brasil/.venv/lib/python3.13/site-packages/fastapi/exceptions.py", line 5, in <module>
  File "<frozen importlib._bootstrap>", line 1412, in _handle_fromlist
  File "/Users/brenoherculano/Documents/New project/mente-do-brasil/.venv/lib/python3.13/site-packages/pydantic/__init__.py", line 446, in __getattr__
    module = import_module(module_name, package=package)
  File "/Users/brenoherculano/.local/share/uv/python/cpython-3.13.5-macos-aarch64-none/lib/python3.13/importlib/__init__.py", line 88, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/brenoherculano/Documents/New project/mente-do-brasil/.venv/lib/python3.13/site-packages/pydantic/main.py", line 36, in <module>
  File "/Users/brenoherculano/Documents/New project/mente-do-brasil/.venv/lib/python3.13/site-packages/pydantic/_internal/_model_construction.py", line 25, in <module>
  File "/Users/brenoherculano/Documents/New project/mente-do-brasil/.venv/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py", line 77, in <module>
  File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
  File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
  File "<frozen importlib._bootstrap_external>", line 1022, in exec_module
  File "<frozen importlib._bootstrap_external>", line 1159, in get_code
  File "<frozen importlib._bootstrap_external>", line 1218, in get_data
TimeoutError: [Errno 60] Operation timed out
