health_region_code,legacy_reconstructed,canonical,diagnostic_80_plus,absolute_difference
11001,9.02224156642051,9.02224156642051,9.277570444654533,0.25532887823402284
11002,8.850876480100617,8.850876480100617,8.850876480100617,0.0
11003,9.390454985270454,9.390454985270456,9.390454985270454,1.7763568394002505e-15
11004,7.209200587540716,7.209200587540715,7.244318936770737,0.03511834923002244
11005,10.912446677263302,10.912446677263304,10.912446677263302,1.7763568394002505e-15
11006,8.692954266258216,8.692954266258216,9.336096743869426,0.6431424776112102
11007,11.748964228407981,11.74896422840798,11.748964228407981,1.7763568394002505e-15
12001,8.299196972859919,8.299196972859919,8.299196972859919,0.0
12002,12.241839071107252,12.241839071107254,12.241839071107252,1.7763568394002505e-15
12003,10.98998065058332,10.98998065058332,10.98998065058332,0.0
13001,6.144743788306698,6.144743788306698,6.189791803147407,0.04504801484070864
13002,4.8939771054228025,4.8939771054228025,4.8939771054228025,0.0
13003,5.526765212178121,5.526765212178121,5.526765212178121,0.0
13004,4.696866825770348,4.696866825770347,4.696866825770348,8.881784197001252e-16
13005,11.82159036690738,11.82159036690738,11.82159036690738,0.0
13006,4.956116282020049,4.956116282020049,4.956116282020049,0.0
13007,13.065494803969385,13.065494803969385,13.065494803969385,0.0
13008,8.472154448175683,8.472154448175683,8.472154448175683,0.0
13009,18.32962056941261,18.32962056941261,18.413500715750665,0.08388014633805341
14001,9.465833615246916,9.465833615246916,9.625070591290033,0.15923697604311648
14002,6.43028825145465,6.430288251454649,6.43028825145465,8.881784197001252e-16
15001,9.74846111612001,9.74846111612001,9.985153810949152,0.23669269482914146
15002,8.115038330103738,8.115038330103738,8.26476687760491,0.14972854750117115
15003,6.664205516280737,6.664205516280738,6.885665220203318,0.22145970392258008
15004,6.834555126844768,6.834555126844768,6.834555126844768,0.0
15006,3.915856264296425,3.915856264296424,4.01395077626705,0.09809451197062602
15007,4.2273475217740035,4.2273475217740035,4.2273475217740035,0.0
15008,5.319802566639529,5.319802566639529,5.379145017000552,0.05934245036102315
15009,4.4990904163865375,4.4990904163865375,4.4990904163865375,0.0
15010,9.285765347127237,9.285765347127237,9.285765347127237,0.0
15011,4.889009294756901,4.889009294756901,4.941892962148998,0.05288366739209671
15012,6.064213853419446,6.064213853419446,6.252682093296126,0.1884682398766797
15013,3.817495290593324,3.8174952905933246,3.9911528767854096,0.17365758619208504
15014,5.8197925903552346,5.8197925903552346,5.8197925903552346,0.0
16001,9.345347124670477,9.345347124670475,9.389184702623096,0.043837577952620777
16002,12.246616930538554,12.246616930538554,12.246616930538554,0.0
16003,6.541527431705893,6.541527431705893,6.805821836402652,0.26429440469675924
17001,9.540005887849563,9.540005887849563,9.672656395326188,0.1326505074766242
17002,6.48944455702325,6.489444557023251,6.48944455702325,8.881784197001252e-16
17003,13.132391297275337,13.132391297275335,13.474930313382709,0.3425390161073736
17004,11.77764723858133,11.77764723858133,12.358336352334893,0.5806891137535626
17005,10.851490748347993,10.851490748347995,11.18645669228176,0.33496594393376533
17006,10.025763999257247,10.025763999257247,10.188929899237566,0.16316589998031894
17007,12.131257763286948,12.131257763286948,12.131257763286948,0.0
17008,11.435610400108473,11.435610400108477,11.7295607337114,0.29395033360292366
21001,8.266394275513452,8.266394275513452,8.325566288599651,0.059172013086199016
21002,7.741076740055629,7.741076740055629,7.898221421473632,0.15714468141800353
21003,8.873690461900365,8.873690461900367,8.873690461900365,1.7763568394002505e-15
21004,6.629207760242127,6.629207760242127,6.68705063955706,0.057842879314932816
21005,9.275831092807927,9.275831092807929,9.275831092807927,1.7763568394002505e-15
21006,3.4144064369823033,3.4144064369823033,3.4463131910840166,0.031906754101713286
21007,5.612416212380561,5.612416212380562,5.65114206859378,0.038725856213218
21008,7.3184256338678475,7.318425633867847,7.445709251319311,0.12728361745146444
21009,4.389442256742361,4.389442256742361,4.389442256742361,0.0
21010,4.643540479368414,4.643540479368413,4.643540479368414,8.881784197001252e-16
21011,3.3849470282048837,3.3849470282048832,3.5717321664585735,0.18678513825369025
21012,6.791508379880064,6.791508379880064,6.868616675177813,0.07710829529774887
21013,4.055727214847116,4.055727214847116,4.055727214847116,0.0
21014,4.790958052668136,4.790958052668136,4.8743694729047276,0.0834114202365912
21015,9.336682842370239,9.33668284237024,9.48197693618147,0.14529409381122882
21016,4.762115744905809,4.762115744905808,4.841214118655526,0.0790983737497184
21017,8.575254436726002,8.575254436726002,8.625500690239726,0.05024625351372336
21018,4.525313532891802,4.525313532891802,4.62254210445769,0.09722857156588738
21019,7.032703114730094,7.032703114730093,7.158341276077945,0.12563816134785188
22001,12.525159783383168,12.525159783383168,12.661492776270636,0.1363329928874677
22002,10.841100022075754,10.841100022075754,11.00436052636016,0.16326050428440553
22003,10.549560974553337,10.549560974553335,10.615177713118268,0.06561673856493222
22004,8.232406011149777,8.232406011149777,8.422074521749273,0.1896685105994962
22005,7.584919719886571,7.584919719886571,7.738230150706681,0.15331043082010964
22006,11.281081036963698,11.281081036963696,11.528953737422341,0.24787270045864496
22007,8.703883981134762,8.703883981134762,8.703883981134762,0.0
22008,13.196149470836813,13.196149470836811,13.44580815412893,0.24965868329211816
22009,14.951393594965037,14.951393594965037,15.105848254598698,0.1544546596336609
22010,13.80629059383614,13.80629059383614,13.86686521865025,0.06057462481411058
22011,11.334014910928195,11.334014910928197,11.69486005644718,0.36084514551898295
22012,15.42913002247082,15.42913002247082,15.49726876947574,0.06813874700491951
23001,6.154516409119872,6.154516409119872,6.20816895200673,0.053652542886857724
23011,9.512744692633222,9.51274469263322,9.62020919743565,0.10746450480242942
23023,10.281568263827513,10.281568263827513,10.39188282929867,0.11031456547115681
23024,10.83949564041604,10.83949564041604,10.955499532365518,0.1160038919494788
23025,8.955931377514817,8.955931377514819,9.086833897797403,0.13090252028258398
24001,5.381549518989007,5.381549518989007,5.381549518989007,0.0
24002,8.890059695583133,8.890059695583135,8.964456694515327,0.0743969989321922
24003,5.487945783838891,5.487945783838891,5.517239244114983,0.02929346027609192
24004,11.455795931753265,11.455795931753268,11.526270440865613,0.07047450911234421
24005,6.272557747189603,6.272557747189603,6.3120627818881125,0.039505034698509967
24006,9.6282985476278,9.6282985476278,9.685833249704826,0.05753470207702627
24007,5.771245460069051,5.771245460069051,5.86889086445907,0.09764540439001923
24008,5.625270133490531,5.625270133490531,5.625270133490531,0.0
25001,5.919251147933821,5.919251147933821,5.97588160058889,0.05663045265506916
25002,4.767043931375005,4.767043931375004,4.791092325041553,0.024048393666548762
25003,9.917672351134733,9.917672351134732,9.99182578208726,0.0741534309525278
25004,10.50423798779942,10.504237987799424,10.64186828536379,0.13763029756436573
25005,8.066329853027636,8.066329853027637,8.122003504122793,0.05567365109515521
25006,9.142054523557285,9.142054523557285,9.211256728009,0.06920220445171488
25007,14.307037008044386,14.307037008044386,14.61965000121495,0.3126129931705641
25008,13.280636742925116,13.280636742925116,13.350568989433405,0.069932246508289
25009,11.485052922590398,11.4850529225904,11.525687220585807,0.040634297995406854
25010,9.017087269031293,9.017087269031297,9.213370647619577,0.19628337858828004
25011,11.51697121560189,11.51697121560189,11.6180020482668,0.1010308326649092
25012,3.021921781309963,3.0219217813099624,3.021921781309963,4.440892098500626e-16
25013,7.207893553166527,7.207893553166527,7.321701360079726,0.11380780691319892
25014,7.004568464559441,7.004568464559441,7.004568464559441,0.0
25015,6.761696216496247,6.761696216496247,6.880419035780287,0.11872281928403972
25016,8.898660439913971,8.898660439913971,9.001382239111212,0.10272179919724067
26001,4.927757754459869,4.927757754459869,5.062701104701665,0.13494335024179538
26002,5.353694523145491,5.353694523145491,5.353694523145491,0.0
26003,6.073685963000774,6.073685963000774,6.130706916938502,0.057020953937728436
26004,6.008350234240381,6.008350234240381,6.182908443059447,0.17455820881906625
26005,5.902715386566614,5.902715386566614,6.043089535303764,0.14037414873715015
26006,6.834932897094967,6.8349328970949665,6.8511785314353535,0.01624563434038695
26007,10.558393613813974,10.558393613813976,10.697384306071907,0.1389906922579307
