health_region_code,lisa_local_i,lisa_p,lisa_q,lisa_significant,lisa_cluster
11001,0.019362017262516774,0.479,0.4878909512761021,False,not_significant
11002,-0.11416383804603118,0.0978,0.20986341463414634,False,not_significant
11003,0.18645421846973328,0.043,0.13580575539568346,False,not_significant
11004,-0.09995855274220072,0.1002,0.21250144927536233,False,not_significant
11005,0.5011891945682765,0.1863,0.2984879562043795,False,not_significant
11006,0.009943643974575601,0.122,0.2390982142857143,False,not_significant
11007,0.6824761119325929,0.2332,0.33787062706270626,False,not_significant
12001,0.4001493209294243,0.0684,0.17332931034482757,False,not_significant
12002,0.2480193996417842,0.3716,0.43271193633952254,False,not_significant
12003,0.9722259971292321,0.0079,0.051001470588235294,True,high-high
13001,-1.9693142100328357e-05,0.4984,0.4988,False,not_significant
13002,0.05542950928139554,0.3371,0.4105440443213296,False,not_significant
13003,-0.4206255347333543,0.0757,0.18360386740331494,False,not_significant
13004,-0.058517153572017304,0.3088,0.39561195335276966,False,not_significant
13005,-0.12706250757764348,0.3982,0.4505407216494845,False,not_significant
13006,-0.07060202279502649,0.1582,0.2734244094488189,False,not_significant
13007,1.0835137371057033,0.0338,0.1187056,False,not_significant
13008,0.35980468274844335,0.0727,0.18229661016949153,False,not_significant
13009,2.1209398697731205,0.0735,0.18229661016949153,False,not_significant
14001,0.09007795018022385,0.3198,0.39808470254957506,False,not_significant
14002,-0.05044752450889573,0.3697,0.431644414893617,False,not_significant
15001,0.14307467273022256,0.2046,0.3196419928825623,False,not_significant
15002,0.020069687461013307,0.4391,0.47310857843137255,False,not_significant
15003,-0.04416325834804849,0.2614,0.3643977848101266,False,not_significant
15004,0.0055916767867506935,0.4684,0.482693896713615,False,not_significant
15006,0.021139374103383127,0.3122,0.39662254335260116,False,not_significant
15007,0.07910055686782634,0.383,0.4383158441558441,False,not_significant
15008,0.04804181745486559,0.2899,0.37989880597014924,False,not_significant
15009,-0.06095287496880208,0.4504,0.4753019230769231,False,not_significant
15010,0.2303303179733251,0.145,0.2652291666666666,False,not_significant
15011,0.03985661282842697,0.247,0.34978387096774194,False,not_significant
15012,-0.08718772796837122,0.2848,0.37880179640718564,False,not_significant
15013,0.01597260242448045,0.33,0.4057983193277311,False,not_significant
15014,0.029860179931822446,0.3611,0.42499436997319034,False,not_significant
16001,0.09484154911170904,0.32,0.39808470254957506,False,not_significant
16002,-0.035151096796187435,0.4935,0.49736590389016017,False,not_significant
16003,-0.13935545998374257,0.225,0.3325757575757576,False,not_significant
17001,-0.02396633802804296,0.4574,0.4761541371158392,False,not_significant
17002,0.17664746165332598,0.343,0.4148126721763085,False,not_significant
17003,0.338223637602572,0.2404,0.3435032467532467,False,not_significant
17004,0.15785093746792825,0.2284,0.33574019933554816,False,not_significant
17005,-0.06397534516737009,0.0311,0.11377416666666666,False,not_significant
17006,0.030372667522102693,0.0427,0.13580575539568346,False,not_significant
17007,0.5795119275956846,0.1199,0.23702062780269056,False,not_significant
17008,0.37723736623409293,0.2226,0.33125898305084744,False,not_significant
21001,0.018552467185935867,0.3838,0.4383158441558441,False,not_significant
21002,-0.028040838088278494,0.2822,0.37880179640718564,False,not_significant
21003,0.014592098399409257,0.4454,0.4751404358353511,False,not_significant
21004,0.03368767891287235,0.3572,0.423812972972973,False,not_significant
21005,0.004744758698306698,0.4738,0.48484428904428906,False,not_significant
