health_region_code,need_score,capacity_score,mismatch_score
11001,-0.23828358395775262,-0.8096031744042302,0.5713195904464776
11002,-0.24178068492903984,-0.07332798909985123,-0.1684526958291886
11003,-0.1377289025466538,-0.3808116308694712,0.24308272832281738
11004,-0.20785296218206334,-0.04499793447493087,-0.16285502770713248
11005,0.2694417812213426,-0.6713963967497669,0.9408381779711095
11006,0.1715487871309921,0.15727665332308102,0.014272133807911064
11007,0.059860857924638355,-1.3590813642167303,1.4189422221413688
12001,-0.4610210880535981,-0.6829875737749789,0.22196648572138078
12002,0.8544502619090494,-0.42123766031254,1.2756879222215893
12003,0.030087648946865164,-0.6186814571576158,0.6487691061044809
13001,-0.9438954742622077,-0.9367476813878118,-0.00714779287439582
13002,-1.0704210402987115,-0.8115606561800893,-0.2588603841186222
13003,-1.0909194409065122,-0.3454853943116268,-0.7454340465948854
13004,-1.232140028004503,-1.0576313606176224,-0.17450866738688053
13005,0.15649511356126672,-0.8814844864897688,1.0379796000510355
13006,-1.1677141830302114,-1.0101481305177453,-0.15756605251246603
13007,0.14389042208703262,-0.8468497204851904,0.990740142572223
13008,-0.6518663441234465,-1.1233551502481445,0.471488806124698
13009,0.8974407475825893,-1.235464405227854,2.1329051528104435
14001,-0.33660918292652114,-0.13676946381571478,-0.19983971911080636
14002,-0.9291504144973501,-0.6101829031813949,-0.31896751131595524
15001,-0.12212358134852153,-0.5380109692636169,0.4158873879150954
15002,-0.6712776593244988,-0.9451676250598086,0.27388996573530977
15003,-0.6430737242621196,-0.7879223364022447,0.14484861214012512
15004,-0.8721075003632506,-0.700691218215991,-0.17141628214725957
15006,-0.9068759412486302,-0.84094060354127,-0.06593533770736026
15007,-1.1242560859658737,-0.6519904490478486,-0.47226563691802503
15008,-0.9444805309739691,-0.7446781962348198,-0.19980233473914932
15009,-0.7397206760808475,-0.0011441594517698588,-0.7385765166290776
15010,-0.5090093265354144,-0.961433217016657,0.45242389048124254
15011,-1.0673726807020425,-0.9357174249491617,-0.13165525575288084
15012,-0.9582318651406412,-0.6135364616604176,-0.34469540348022354
15013,-1.332990501527573,-1.256291075445153,-0.07669942608241986
15014,-1.0329094679035844,-0.8641426702023997,-0.16876679770118475
16001,-0.46829063996231146,-0.7695812512174119,0.3012906112551005
16002,0.10605509911576666,-0.9857576805817171,1.0918127796974837
16003,-0.9070984775946441,-0.560242961403535,-0.3468555161911091
17001,-0.05023778436767938,0.3852355994245143,-0.4354733837921937
17002,-0.8553879477194437,-0.09025245636141634,-0.7651354913580274
17003,0.2841579836788885,-0.6329823312196248,0.9171403148985133
17004,0.1016847458015292,-0.30070143532356275,0.40238618112509195
17005,0.19049742867437722,0.2609565036977766,-0.0704590750233994
17006,0.12690025532986443,0.09723975071245179,0.02966050461741264
17007,0.245583713922649,-0.8723535715106255,1.1179372854332745
17008,0.23254342588707969,-0.8856684544072234,1.118211880294303
21001,-0.504076703501838,-0.36549972536152997,-0.138576978140308
21002,-0.3893830063664407,-0.48453277992462457,0.09514977355818388
21003,-0.5064624773560367,-0.7664328234753922,0.25997034611935554
21004,-0.766207277297384,-0.5577045960983872,-0.20850268119899684
21005,-0.38798924185543976,-0.2241861853390291,-0.16380305651641067
21006,-1.2243794767923486,-1.0320957103120414,-0.1922837664803072
21007,-0.6269928621441296,-0.4957066657797342,-0.13128619636439542
21008,-0.7349634187595617,-0.5106753723605241,-0.22428804639903765
21009,-0.8775807905645132,-0.6059041010822996,-0.2716766894822136
21010,-0.8969291137629793,-0.3063328147474567,-0.5905962990155227
21011,-1.136449677811592,-0.37117899171754837,-0.7652706860940437
21012,-0.5629316728818048,-0.20755250263565161,-0.3553791702461532
21013,-0.9146825545121895,-0.43356986254746926,-0.48111269196472023
21014,-0.7454205809699038,-0.9047737384682937,0.15935315749838985
21015,-0.2811632488228921,-0.13662688882624296,-0.14453635999664916
21016,0.4098740106148254,-0.5468797668575416,0.956753777472367
21017,-0.3202415082221483,-0.5319472184519061,0.21170571022975776
21018,-0.9336584696010468,-0.34697936661450424,-0.5866791029865426
21019,-0.3977247618605659,-0.7143259182360405,0.31660115637547465
22001,0.22226038803404724,-0.396787389694708,0.6190477777287553
22002,-0.22345459558583253,0.11710127559172467,-0.3405558711775572
22003,-0.16099421141725434,-0.4812069135682893,0.320212702151035
22004,-0.16579603677779187,-0.18984147431299989,0.02404543753520802
22005,0.6019747695850421,-0.2800919479166574,0.8820667175016996
22006,-0.046827549050413586,0.022715514027292882,-0.06954306307770647
22007,-0.3860711218381173,-0.5466443408122883,0.16057321897417098
22008,0.39798996203498604,-0.269083388530654,0.6670733505656401
22009,0.6218995348225469,-0.700690375771082,1.3225899105936287
22010,0.40661725214385075,0.6810563056930485,-0.2744390535491978
22011,0.04493357542620863,-0.3708069874058116,0.4157405628320202
22012,0.7471915674747652,0.26381769828542284,0.4833738691893424
23001,-0.15110599671426278,-0.2714655040171355,0.1203595073028727
23011,-0.12529279578545593,0.05599254332211203,-0.18128533910756797
23023,-0.016527101319941534,0.1009635158093246,-0.11749061712926613
23024,0.40377013745631074,0.18447357672335038,0.21929656073296036
23025,-0.07186194888930086,-0.20478766802868095,0.1329257191393801
24001,-0.591822869374882,-0.27727163206784033,-0.3145512373070417
24002,0.005905435906492858,-0.05564997991596662,0.06155541582245948
24003,-0.530770451359688,-0.07232084204236289,-0.45844960931732515
24004,0.11809153161524111,-0.0686193843852997,0.1867109160005408
24005,-0.5661049780942864,-0.21915238411605453,-0.34695259397823186
24006,-0.1852546348001174,-0.31370829896299685,0.12845366416287946
24007,-0.24498422947723117,0.07187160597191673,-0.3168558354491479
24008,-0.8991014650943325,-0.7905423532499937,-0.10855911184433886
25001,-0.6574128209882437,-0.047517462330930016,-0.6098953586573137
25002,-0.8244317898596468,0.5000825389175749,-1.3245143287772216
25003,0.6568603556005647,-0.14537425654523592,0.8022346121458006
25004,0.2509867874707688,0.35132194656519905,-0.10033515909443025
25005,-0.2172380802176193,0.9743573097103727,-1.191595389927992
25006,-0.13734271486582814,0.6064277725588436,-0.7437704874246718
25007,0.7437261814321091,2.0928110896322925,-1.3490849082001835
25008,0.290881838276385,0.9113081086909505,-0.6204262704145656
25009,-0.05602718973975901,0.5767143867711716,-0.6327415765109305
25010,-0.3553538137941664,0.45264374332264795,-0.8079975571168143
25011,0.1722355095154404,1.4958922671189845,-1.323656757603544
25012,-0.9796827786935242,-0.0663689004109723,-0.9133138782825518
25013,-0.6089310390838084,0.37090051869999724,-0.9798315577838057
25014,-0.4072631857097785,0.19184209182043274,-0.5991052775302113
25015,-0.10479514488150046,0.44297850885334417,-0.5477736537348447
25016,0.825912668537088,0.42105940016477644,0.40485326837231156
26001,-0.5412031055901939,0.8318749874850924,-1.3730780930752862
26002,-0.7232355383659937,0.16000158533098355,-0.8832371236969773
26003,-0.9321808258722457,-0.31323247637823953,-0.6189483494940062
26004,-0.9168582739922135,0.19542172366966867,-1.1122799976618822
26005,-0.7823141749416856,0.08867113926261318,-0.8709853142042988
26006,-0.7321495184130297,-0.23395062222116894,-0.49819889619186075
26007,0.19673543680504002,-0.30672576443911553,0.5034612012441555
26008,-1.1846761555861463,-0.12256258660505848,-1.0621135689810877
26009,-0.44739252131836815,-0.3907958890210545,-0.056596632297313654
26010,-0.8564749345936065,0.2794046450688301,-1.1358795796624366
26011,0.9293596179244744,0.41551192128475783,0.5138476966397165
26012,0.46487011807772627,0.548001936737212,-0.08313181865948571
27001,0.15115341820982164,0.2769909839337248,-0.12583756572390314
27002,-1.0030948298924454,0.04511604913088089,-1.0482108790233262
27003,-0.3542505847078699,0.8583187047477104,-1.2125692894555804
27004,0.04724354130603087,1.2283296546162412,-1.1810861133102104
27005,0.009810473427948274,1.015006789409814,-1.0051963159818658
27006,-0.7552165769295687,-0.06929030053141352,-0.6859262763981552
27007,-0.39954633164372344,-0.10277828816731416,-0.2967680434764093
27008,-0.015130261954141633,-0.130699646348092,0.11556938439395037
27009,-0.2870963196880494,-0.06012257784502948,-0.2269737418430199
27010,-0.7085929396227331,-0.01384396372324929,-0.6947489758994838
28001,-0.7710699986496072,0.25915406113402867,-1.0302240597836358
28002,-0.7634530807596014,0.5317584784225421,-1.2952115591821434
28003,-0.317177389412834,-0.25921005573324346,-0.05796733367959056
28004,-0.6892018237231565,0.006734791436350991,-0.6959366151595076
28005,-0.4239921252891369,-0.5968337124980431,0.1728415872089062
28006,-0.6611235526426805,-0.4921519641016265,-0.16897158854105404
28007,-0.5614925443138148,0.22019427290205704,-0.7816868172158719
29001,-0.9973791700137674,-0.3938662628878622,-0.6035129071259052
29002,-0.7251377126824098,-0.48252869543956517,-0.24260901724284462
29003,-0.6706407081571364,-0.22086992184080168,-0.4497707863163347
29004,-1.217738313822129,-0.5962270151907433,-0.6215112986313857
29005,-0.9951235875975712,-0.024425663349821103,-0.9706979242477501
29006,-1.0568481020765308,-0.248801043416122,-0.8080470586604088
29007,-0.8539385932394418,-0.4639044974528372,-0.3900340957866046
29008,-0.7061310608960145,-0.45931515724217514,-0.24681590365383937
29009,-0.8953324135329355,-0.4252559226419963,-0.47007649089093917
29010,-0.46467822203902664,0.13992090427577084,-0.6045991263147975
29011,-0.1878312532138386,-0.007858917943593799,-0.17997233527024478
29012,-1.212220709484113,-0.18941853868317424,-1.022802170800939
29013,-0.9316342490322072,0.2651037107556966,-1.1967379597879038
29014,-0.7543408506269531,-0.208139136600441,-0.5462017140265121
29015,-0.9290446637658882,-0.44534840633212597,-0.48369625743376227
29016,-0.36772102006928,-0.44103237150540275,0.07331135143612277
29017,-0.695023242746921,-0.6837043551475265,-0.011318887599394478
29018,-1.0027207571277956,-0.3116423561987638,-0.6910784009290318
29019,-0.7211215230364969,-0.37587734006232837,-0.34524418297416853
29020,-0.9551888914996447,-0.2200636130653325,-0.7351252784343122
29021,-0.7845911060386921,-0.008429801368600399,-0.7761613046700917
29022,-0.8466020876621189,-0.20932371026892008,-0.6372783773931988
29023,-0.24193100739651666,0.26994641198835595,-0.5118774193848726
29024,-0.8921534415182759,-0.20655257450352926,-0.6856008670147467
29025,-0.9351292347263607,-0.27433682290456723,-0.6607924118217934
29026,-1.2043753953913752,-0.18945820890242018,-1.014917186488955
29027,-0.9192737236710604,-0.5470942926159862,-0.37217943105507423
29028,-0.7617905677629426,-0.39685914665457894,-0.3649314211083637
31001,0.6507340331163991,0.740202315397707,-0.08946828228130788
31002,-0.027535373006784977,-0.5067914122820184,0.4792560392752334
31003,-0.01349081970323629,-0.4582985076356829,0.4448076879324466
31004,0.037504618684255975,-0.17130475911972165,0.20880937780397762
31006,-0.12243286354712163,-0.03895181777824386,-0.08348104576887777
31007,-0.04976378551706973,-0.2270162942834407,0.17725250876637097
31008,0.46064132842227407,0.5702325867582889,-0.10959125833601485
31009,0.17884659436330738,0.4119574411310083,-0.2331108467677009
31010,0.16733605265802337,0.3495250370419905,-0.18218898438396713
31011,0.2786062834286704,1.190684958816117,-0.9120786753874466
31012,0.08732194241961244,-0.12589857524650774,0.21322051766612019
31013,1.4793134051945582,1.5524470021378551,-0.07313359694329691
31015,0.08396760762534516,-0.4218857367550459,0.5058533443803911
31016,-1.0052352260559598,-0.2740304419475394,-0.7312047841084204
31017,-0.7214786379872988,0.07728346467500431,-0.7987621026623032
31018,-1.3802743146602965,-0.24841093422751595,-1.1318633804327805
31019,0.10081922835432372,0.11419381001129982,-0.013374581656976095
31020,-0.628926764872946,-0.03390415577631993,-0.5950226090966261
31021,0.11195498764027571,0.25048466096919186,-0.13852967332891614
31022,-0.4577685716463267,1.5546414511278552,-2.012410022774182
31023,-0.6606572242620916,0.004520497843723682,-0.6651777221058153
31024,-0.03805412546194807,-0.21216054556314903,0.17410642010120098
31025,-0.8229141757603439,-0.1473208061536398,-0.675593369606704
31026,0.11326397813489444,0.38953241900349034,-0.2762684408685959
31027,1.726519995951476,0.9915252083469323,0.7349947876045438
31028,0.23152367027350934,0.015202193571618783,0.21632147670189056
31030,-0.024070172283158497,-0.47676579333504776,0.45269562105188926
31031,-0.374170330331763,-0.10678059645976072,-0.26738973387200227
31032,-0.1709097600141003,0.005320380806901078,-0.17623014082100139
31034,-0.04310006809558781,0.245571013289406,-0.2886710813849938
31035,-0.3092798974193312,-0.21506372878965907,-0.09421616862967214
31036,-0.42576811489820304,-0.16571848903528666,-0.26004962586291636
31037,0.23403618151661967,0.357789745823958,-0.12375356430733833
31038,-0.35323895111361797,2.1561453568661264,-2.509384307979744
31040,0.0456859369285339,1.0059748199647451,-0.9602888830362113
31041,-0.43099340081929505,1.1951149455403762,-1.6261083463596713
