health_region_code,lisa_local_i,lisa_p,lisa_q,lisa_significant,lisa_cluster
11001,0.21208081582393815,0.3346,0.400841689373297,False,not_significant
11002,0.04930255701636654,0.0269,0.08435071428571429,True,high-high
11003,0.4232015032150385,0.0047,0.0322390625,True,high-high
11004,-0.2871574618752504,0.0469,0.12403072289156626,False,not_significant
11005,0.9652126283709285,0.1003,0.18774255319148936,False,not_significant
11006,-0.1395265024251629,0.0201,0.07232704918032787,True,low-high
11007,1.1200859817874784,0.1923,0.29241864406779666,False,not_significant
12001,0.42911583354558086,0.0581,0.1368100529100529,False,not_significant
12002,0.3799463109518164,0.3152,0.3867091412742382,False,not_significant
12003,2.066281339447425,0.0006,0.009082758620689654,True,high-high
13001,0.044184279330785566,0.273,0.35509644970414195,False,not_significant
13002,0.0013537582843997382,0.492,0.4949,False,not_significant
13003,-0.614814149575206,0.0075,0.03990909090909091,True,low-high
13004,-0.11472179088291169,0.1332,0.23112569169960478,False,not_significant
13005,0.34215566597129143,0.3346,0.400841689373297,False,not_significant
13006,-0.15027264298461626,0.0463,0.12318606060606062,False,not_significant
13007,2.5386559761905563,0.0065,0.037058441558441554,True,high-high
13008,0.9078258355618728,0.0242,0.08048333333333332,True,high-high
13009,4.006046056104029,0.003,0.024388888888888887,True,high-high
14001,-0.04261358624792922,0.4084,0.45736632653061227,False,not_significant
14002,-0.09232943687051334,0.1411,0.2400887596899225,False,not_significant
15001,0.6305272886768242,0.0256,0.08263529411764706,True,high-high
15002,0.3262412014434683,0.1614,0.2632374074074074,False,not_significant
15003,0.002234978299716575,0.445,0.4773457420924574,False,not_significant
15004,0.00044061000765841006,0.4657,0.4844604265402843,False,not_significant
15006,0.18171792610536777,0.2275,0.315193690851735,False,not_significant
15007,0.26311548102258486,0.2509,0.33076606606606607,False,not_significant
15008,0.12050181979635098,0.2133,0.30903861386138615,False,not_significant
15009,0.08563159714056909,0.4602,0.48332009569377987,False,not_significant
15010,1.0351922822442758,0.0174,0.06944181818181817,True,high-high
15011,0.09545637929891486,0.1965,0.29241864406779666,False,not_significant
15012,-0.18567044215060355,0.0683,0.15455515463917524,False,not_significant
15013,0.023055752333107884,0.4016,0.45556175710594315,False,not_significant
15014,0.0037462493404772884,0.4593,0.48332009569377987,False,not_significant
16001,0.6204938325241682,0.1773,0.27730427046263345,False,not_significant
16002,0.9858276424973617,0.2504,0.33076606606606607,False,not_significant
16003,-0.11785785567172036,0.0499,0.1273610465116279,False,not_significant
17001,-0.050609841942470854,0.1719,0.27342065217391304,False,not_significant
17002,0.006139538603090579,0.4924,0.4949,False,not_significant
17003,1.2447360429395755,0.0638,0.145120207253886,False,not_significant
