origin_region,destination_region,admissions
15013,16001,
15001,15001,32.0
15001,15006,
15001,15003,
15002,13001,
15002,15002,22.0
15002,15006,
15012,15012,
15012,15006,
15012,15010,
15014,15006,23.0
15006,15006,
15006,15006,1335.0
15006,15009,
15006,21016,
15006,42011,
15006,43010,
15012,15012,
15012,15006,
15012,31027,
15012,52002,
15009,15006,
15009,15009,150.0
15008,15008,
15008,15006,19.0
15014,15014,
15011,15006,20.0
15001,15001,14.0
15011,15006,219.0
15011,15003,
15006,13001,
15006,15006,3831.0
15006,15009,
15006,15003,
15006,17005,
15006,17007,
15006,23001,
15006,24007,
15006,29020,
15006,31016,
15006,33005,7.0
15006,35011,
15006,41002,
15006,42007,
15006,43012,
15006,51013,
15002,15002,
15006,15006,160.0
15006,15007,
15003,15006,
15003,15003,
15009,15009,31.0
15009,15006,12.0
15009,15009,738.0
15009,42007,
15012,15006,
15004,15006,31.0
15004,15003,
15004,21016,
15014,15006,29.0
15014,15014,14.0
15007,15006,26.0
15007,15009,
15009,15009,47.0
15013,15006,9.0
15011,15006,78.0
15011,15003,
15003,15003,72.0
15003,15003,
15003,15003,8.0
15003,15001,
15003,33001,
15009,15006,
15009,15009,220.0
15009,52002,
15008,15006,71.0
15008,15009,
15008,15008,
15008,15006,269.0
15008,15009,5.0
15008,15008,
15008,29002,
15008,31016,
15013,15006,
15007,15006,
15001,15006,5.0
15001,15003,
15001,15003,
15001,17006,
15007,15006,49.0
15001,15006,
15003,15006,
15003,15003,21.0
15003,15003,
15003,15003,
15014,15006,13.0
15008,15006,39.0
15003,15006,16.0
15003,15003,6.0
15003,21016,
15003,15006,
15003,15003,9.0
15003,15003,
15003,15003,5.0
15002,13005,
15001,15001,
15001,15001,
15001,17001,
15001,52002,
15008,15006,53.0
15004,15006,
15004,15003,
15014,15006,
15014,16001,
15008,15006,42.0
15008,15009,
15011,15006,73.0
15011,15009,
15011,15011,9.0
15008,15006,10.0
15008,15006,31.0
15008,15008,
15008,33005,
15008,15006,26.0
15008,15009,
15010,15010,
15010,15010,
15010,15010,
15010,35011,
15010,51002,
15010,51015,
15010,51013,
15003,15006,7.0
15003,15003,
15003,15003,12.0
15004,15006,8.0
15004,15004,
15004,15003,
15002,12002,
15002,13001,
15011,15006,
15008,15006,29.0
15008,15008,6.0
15008,15006,7.0
15003,15006,
15003,15003,
15003,15003,298.0
15003,15003,
15003,52014,
15008,15006,28.0
15008,15009,
15008,15006,13.0
15008,15008,
15006,13001,
15006,15006,233.0
15006,15006,
15006,52001,
15012,15006,
15012,15012,
15014,15006,
15011,15006,25.0
15011,15006,81.0
15002,13001,
15002,13005,
15002,15006,40.0
15002,15002,39.0
15013,15006,11.0
15013,15013,
15008,15006,47.0
15008,15009,
15003,15006,
15003,15003,
15003,15003,
15009,15006,
15009,15009,43.0
15010,15010,30.0
15010,51015,
15004,15006,27.0
15004,15003,
15004,15004,
15004,15003,
15004,31072,
15004,52014,
15002,15006,7.0
15002,15002,
15011,15006,8.0
15002,15006,
15002,15002,
15009,15006,
15009,15009,27.0
15009,15009,
15001,15006,18.0
15001,15003,
15001,15001,
15001,15003,
15001,53001,
15012,15006,23.0
15012,15012,90.0
15003,15006,
15003,15003,7.0
15008,11002,
15008,15006,132.0
15008,15008,
15008,33005,
15008,52001,
15003,15006,
15003,15003,6.0
15003,15003,1073.0
15003,15001,
15003,17001,
15003,21016,
15003,22004,
15003,33005,
15001,15001,
15001,15001,
15009,15009,13.0
15003,17001,
15002,15002,
15002,15012,
15013,15006,9.0
15014,15006,5.0
15014,15014,26.0
15014,16001,
15014,42006,
15012,15006,
15012,15012,
15009,15009,22.0
15009,15006,
15009,15009,34.0
15001,15006,
15001,15003,
15001,15003,
15001,15001,85.0
15001,15001,
15001,17005,
15001,17006,
15001,52011,
15001,52001,5.0
15001,15001,22.0
15001,35132,
15001,52002,
15001,52013,
15001,52001,
15003,15003,9.0
15003,15003,
15010,15006,
15010,15010,11.0
15010,17006,
15009,15009,75.0
15009,15009,
15013,15006,10.0
15006,15006,40.0
15006,15006,
15006,15007,
15013,15006,5.0
15013,15013,
15007,15006,163.0
15007,15007,16.0
15007,16001,
15009,15006,
15009,15009,56.0
15001,15001,
15001,17006,
15008,15006,23.0
15008,15008,
15008,15008,8.0
15001,15006,
15001,15003,
15001,15001,61.0
15002,15002,
15002,15006,25.0
15002,15002,25.0
15002,16001,5.0
15002,33005,
15009,15009,10.0
15007,15006,24.0
15007,15006,25.0
15003,15003,5.0
15003,15001,
15008,15006,22.0
15001,15006,6.0
15001,15003,
15001,15001,
15001,17005,
15008,15006,18.0
15003,15003,6.0
15003,17001,
15003,22004,
15008,15006,
15009,15009,38.0
15009,15009,
15003,15003,
15008,15006,50.0
15008,15008,7.0
15008,17001,
15013,15006,6.0
15001,15006,
15001,15001,17.0
15001,15001,
15001,32002,
15001,35011,
15013,15006,13.0
15011,13001,
15011,15006,61.0
15011,22004,5.0
15008,15006,23.0
15002,15002,
15007,15006,47.0
15007,15009,
15007,15003,
15009,15009,75.0
15010,15010,6.0
15001,15006,
15001,15003,
15001,15001,
15001,53001,
15004,15006,13.0
15004,15004,
15004,31072,
15008,15006,54.0
15008,15009,
15008,15008,37.0
15012,15006,
15012,15012,8.0
15012,51015,
15007,15006,67.0
15009,15009,93.0
15012,15006,
15012,15012,9.0
15001,15006,15.0
15001,15001,506.0
15001,17006,
16002,16002,18.0
16002,16001,
16001,16001,
16003,16001,6.0
16001,15006,
16001,16001,185.0
16001,35016,
16001,42011,
16001,43001,
16003,16001,
16002,16001,
16002,16002,44.0
16001,16001,5.0
16003,16001,26.0
16003,26010,
16002,16001,
16003,16001,
17007,17007,
17002,17002,
17002,22004,
17005,17005,8.0
17003,17008,
17003,17006,
17005,17005,
17002,17001,13.0
17002,17001,6.0
17006,17007,
17006,17006,9.0
17001,17001,
17007,17007,8.0
17007,17006,
17005,17005,
17005,17005,5.0
17005,42006,
17005,52001,5.0
17001,15003,8.0
17001,17001,550.0
17001,17004,
17001,17006,7.0
17001,29006,
17001,52018,
17001,52001,7.0
17001,17001,
17001,17005,
17002,15003,5.0
17002,17001,15.0
17004,17001,
17004,17004,
17003,17008,5.0
17003,17006,5.0
17003,52001,
17002,17001,
17002,17006,
17002,17001,
17001,17001,16.0
17004,17001,9.0
17004,17004,
17001,17001,
17007,17007,
17004,17004,
17008,17008,
17008,17006,
17002,17001,5.0
17002,17001,
17002,17006,
17001,17001,
17001,17006,
17005,17005,
17001,17001,8.0
17002,17001,
17007,17001,
17007,17007,
17007,17006,
17007,17007,5.0
17007,17006,
17008,17008,
17004,17001,17.0
17004,17004,
17004,17004,
17004,17006,
17003,17006,
17003,52001,
17003,17008,
17003,17006,6.0
17004,17001,
17007,17007,6.0
17007,17006,
17005,17005,
17005,17006,
17001,17001,6.0
17003,17003,
17003,17008,18.0
17003,17006,6.0
17003,52001,
17007,17007,6.0
17007,17007,
17007,17006,
17005,17005,
17005,17006,
17002,17001,
17008,17008,
17008,17006,
17008,52001,
17005,17001,
17005,17005,5.0
17001,17001,10.0
17001,17006,
17001,52001,
17005,17005,6.0
17005,17005,12.0
17005,51009,
17006,17001,
17006,17006,
17004,17001,6.0
17004,17004,
17004,17006,
17001,17001,
17004,17001,12.0
17004,17004,19.0
17004,17007,
17004,17006,7.0
17004,52001,6.0
17005,17001,
17005,17005,336.0
17005,17007,
17005,17008,
17005,17006,14.0
17005,52001,5.0
17008,17008,
17008,23001,
17004,17001,6.0
17004,17004,
17004,17006,
17004,17001,
17004,17004,
17004,17006,
17005,17005,5.0
17004,17001,
17004,17004,
17007,17005,
17007,17007,7.0
17007,17008,
17007,17006,
17007,51009,7.0
17006,17006,8.0
17006,17006,9.0
17003,17008,
17006,17006,
17007,17007,15.0
17007,17006,
17008,17008,
17006,17005,
17006,17006,31.0
17006,17006,7.0
17008,17008,
17008,17006,
17008,52001,
17007,17007,
17002,17001,
17002,17002,
17001,17001,
17008,17008,8.0
17008,17006,5.0
17008,52001,
17002,17002,
17001,17001,13.0
17007,17007,
17006,17006,7.0
17003,17008,
17003,17006,
17003,17008,
17003,17006,
17008,17007,
17008,17008,
17004,17001,6.0
17005,17005,6.0
17005,52001,
17007,17005,
17007,17007,101.0
17007,17006,20.0
17003,17008,
17003,52001,
17001,17001,5.0
17001,52001,
17004,17004,
17004,17006,7.0
17005,17005,
17004,17001,
17004,17004,
17004,17006,
17004,17001,
17004,17004,
17004,17006,
17008,17008,
17008,17006,
17008,53001,
17001,17001,6.0
17007,17007,6.0
17007,17007,34.0
17003,17008,
17003,17006,
17008,17008,8.0
17008,17006,
17003,17008,
17008,17001,
17008,17004,
17008,17005,
17008,17007,
17008,17008,103.0
17008,17006,71.0
17008,52002,
17008,52001,
17004,17006,
17007,17007,
17007,17006,
17007,52001,
17004,17005,
17004,17006,
17002,17001,16.0
17003,17008,
17003,17006,
17006,17006,
17006,17006,11.0
17002,17001,
17005,17005,
17001,17001,13.0
17001,17006,
17004,17006,
17008,17008,11.0
17006,17006,13.0
17002,17001,
17006,17006,
17002,17001,
17005,17005,
17002,52001,
17005,17005,13.0
17008,17008,9.0
17008,17008,
17008,17006,
17002,17001,
17005,17005,
17003,17003,
17003,17006,
17003,17008,
17005,17006,
17006,15001,
17006,17001,5.0
17006,17005,5.0
17006,17007,
17006,17008,
17006,17006,1038.0
17006,25001,
17006,29006,
17006,31072,
17006,35132,
17006,52002,
17006,52001,5.0
17006,52002,
17006,52014,
17006,17006,
17006,17006,8.0
17002,17001,15.0
17002,17002,43.0
17002,31007,
17004,17006,
17004,17001,5.0
17004,17006,
17001,17001,25.0
17001,17006,
17001,17001,9.0
17001,17001,
21001,11006,
21001,21001,18.0
21001,21016,90.0
21006,21016,5.0
21006,22005,
21016,21016,57.0
21005,21016,11.0
21002,21002,
21002,21016,22.0
21007,21007,
21007,21016,97.0
21014,21014,123.0
21014,21016,67.0
21003,21016,19.0
21019,21019,
21019,21016,
21008,21008,45.0
21008,21016,12.0
21009,21009,5.0
21009,21016,40.0
21006,21006,
21006,21016,
21006,22004,
21011,21011,8.0
21011,21016,16.0
21019,21016,
21006,21006,
21006,21016,54.0
21006,22005,9.0
21006,35012,
21004,21016,41.0
21009,21016,62.0
21009,51013,
21013,21016,29.0
21002,21002,70.0
21002,21016,131.0
21002,22004,14.0
21013,21016,56.0
21011,21011,10.0
21011,21016,62.0
21018,21016,18.0
21003,21003,12.0
21003,21016,15.0
21015,21016,
21015,22004,29.0
21004,21008,
21004,21016,95.0
21004,22004,
21013,21013,
21013,21016,115.0
21009,21016,7.0
21014,21014,
21014,21014,
21014,21016,8.0
21011,21016,52.0
21010,21010,16.0
21010,21016,15.0
21019,21016,52.0
21014,21014,
21014,21016,62.0
21001,21001,
21001,21016,23.0
21002,21002,
21002,21016,9.0
21006,16001,
21006,21006,
21006,21016,74.0
21006,22004,
21002,15010,
21002,21016,7.0
21005,21005,
