sensitivity,moran,pseudo_p,significant,HH,HH_overlap_primary,spearman_primary,legacy_method_limitation
S1,0.46742464888797786,0.0001,119,54,51,0.9314744618518221,
S2,0.5216735985689102,0.0001,130,60,56,0.9956554190565363,
S3,0.5346638303654061,0.0001,140,63,60,0.9986564819948506,prespecified count-weighted shrinkage; not a fitted EB model
S4,0.5637691286604688,0.0001,151,62,39,0.8233994679329878,
S5,0.5169755077294621,0.0001,142,58,51,0.9745348607218787,
S6,0.5417181866030625,0.0001,171,74,57,1.0,
S7,0.45428404222028906,0.0001,113,49,45,0.9317410030554939,
S8,0.5256454566660947,0.0001,136,60,60,0.9999993971918295,average of three leave-one-out capacity means is algebraically original mean
S9,0.5256454566660947,0.0001,136,60,60,1.0,flag-only; not an exclusion analysis
