health_region_code,lisa_local_i,lisa_p,lisa_q,lisa_significant,lisa_cluster
11001,0.07426652424499604,0.4319,0.46244902439024393,False,not_significant
11002,-0.08721757772161229,0.047,0.1297913043478261,False,not_significant
11003,0.2881441778926463,0.0097,0.046285869565217394,True,high-high
11004,0.09953438132996166,0.1031,0.2142157407407407,False,not_significant
11005,0.838512703885834,0.1758,0.2879708955223881,False,not_significant
11006,-0.052342429476139596,0.0456,0.1291509677419355,False,not_significant
11007,1.3237836056486307,0.0881,0.1905216748768473,False,not_significant
12001,-0.0567686017206146,0.0212,0.07628524590163935,True,low-high
12002,0.3650536471756208,0.3567,0.41424177545691904,False,not_significant
12003,1.078080288652657,0.0147,0.061459999999999994,True,high-high
13001,0.004105850318992183,0.4162,0.45211580246913585,False,not_significant
13002,0.1467747862864461,0.1883,0.29628566308243726,False,not_significant
13003,-0.8499811837635978,0.0264,0.08984186046511629,True,low-high
13004,-0.11513819027812276,0.2902,0.3792074183976262,False,not_significant
13005,-0.4356747708947047,0.2618,0.3602827586206896,False,not_significant
13006,-0.1935334004946083,0.1183,0.2259614718614719,False,not_significant
13007,0.7683603338334652,0.0951,0.2016855072463768,False,not_significant
13008,0.18401815777334873,0.2023,0.3127102112676057,False,not_significant
13009,1.4034169234241454,0.0634,0.16013522727272725,False,not_significant
14001,0.4609247746513545,0.2477,0.34714554140127385,False,not_significant
14002,-0.04612677246324936,0.4307,0.4622916870415648,False,not_significant
15001,0.1483113350639287,0.2472,0.34714554140127385,False,not_significant
15002,-0.014790859719261484,0.4428,0.4684077108433735,False,not_significant
15003,0.031169420077599378,0.1527,0.2598267441860465,False,not_significant
15004,0.09255165399000728,0.3215,0.3964564606741573,False,not_significant
15006,-0.19870588338205938,0.2099,0.3199517361111111,False,not_significant
15007,0.1168510718122518,0.3738,0.4251248704663213,False,not_significant
15008,0.11027235758134793,0.2338,0.33805888157894737,False,not_significant
15009,-0.16176361035317421,0.3777,0.4273461340206185,False,not_significant
15010,0.2608101391070598,0.1379,0.24516733870967744,False,not_significant
15011,0.12173988844498147,0.1536,0.2603490347490347,False,not_significant
15012,-0.11097628881209201,0.3612,0.41424177545691904,False,not_significant
15013,0.07228397441455957,0.296,0.379953216374269,False,not_significant
15014,0.15397075710135608,0.1819,0.2962850909090909,False,not_significant
16001,0.03848845429978498,0.4467,0.4702669064748201,False,not_significant
16002,-0.20044886645811666,0.4227,0.45593439803439806,False,not_significant
16003,-0.21295450015293355,0.279,0.3734176829268293,False,not_significant
17001,0.05240491612524569,0.3867,0.43417212276214834,False,not_significant
17002,0.49480707024561804,0.2304,0.33617774086378743,False,not_significant
17003,0.3984474258839178,0.1685,0.2791377358490566,False,not_significant
17004,0.15429759756764283,0.1258,0.2353787234042553,False,not_significant
17005,0.2581985708487463,0.0226,0.08066178861788618,True,high-high
17006,0.21025283486567642,0.0121,0.053655555555555554,True,high-high
17007,1.083441981232228,0.0642,0.16013522727272725,False,not_significant
17008,0.6472042670184308,0.1877,0.29628566308243726,False,not_significant
21001,0.05701688754231146,0.3508,0.41398172043010756,False,not_significant
21002,-0.020103179838731677,0.425,0.45729166666666665,False,not_significant
21003,0.008719067317103335,0.476,0.4878118881118881,False,not_significant
21004,0.035827181426425846,0.3987,0.44423680203045685,False,not_significant
21005,-0.013450199320836433,0.4614,0.4799872037914692,False,not_significant
21006,-0.007390032341767786,0.413,0.45211580246913585,False,not_significant
21007,-0.007681913500049805,0.2911,0.3792074183976262,False,not_significant
21008,0.1366688890335052,0.2629,0.3606071428571429,False,not_significant
21009,0.0009715532153343586,0.4491,0.47053675417661095,False,not_significant
21010,0.09563571265817132,0.3853,0.43417212276214834,False,not_significant
21011,-0.2806593034512866,0.3068,0.3860691428571429,False,not_significant
21012,0.09036524406182304,0.3078,0.3860691428571429,False,not_significant
21013,0.0034938548320678233,0.4873,0.49405242494226326,False,not_significant
21014,-0.09289721376000351,0.3483,0.4122576819407008,False,not_significant
21015,-0.02379059796523929,0.4109,0.45211580246913585,False,not_significant
21016,-0.5795838073508595,0.112,0.22048430493273544,False,not_significant
21017,-0.12813354492058346,0.2813,0.37421424242424245,False,not_significant
21018,-0.12152636026578734,0.3523,0.4142328877005348,False,not_significant
21019,-0.35930529065155925,0.1408,0.24724480000000001,False,not_significant
22001,-0.12442918689186011,0.3603,0.41424177545691904,False,not_significant
22002,-0.22527890180565902,0.2273,0.33597542087542087,False,not_significant
22003,0.03292485896410949,0.419,0.4530566502463054,False,not_significant
22004,-0.01221167656812592,0.3585,0.41424177545691904,False,not_significant
22005,-0.08123264383768013,0.4357,0.4631290556900726,False,not_significant
22006,0.007357896350798983,0.347,0.4122576819407008,False,not_significant
22007,-0.017958787511142427,0.4401,0.46667608695652174,False,not_significant
22008,0.25573373203756944,0.2193,0.32970102739726026,False,not_significant
22009,0.044027304092026695,0.475,0.4878118881118881,False,not_significant
22010,-0.16839259267626341,0.1427,0.2476098814229249,False,not_significant
22011,-0.03545635415522508,0.413,0.45211580246913585,False,not_significant
22012,0.09404919828675713,0.174,0.2860898876404494,False,not_significant
23001,0.00034710191795708897,0.4913,0.4958177011494253,False,not_significant
23011,-0.16959831512811407,0.2457,0.34682411575562705,False,not_significant
23023,-0.17982901960179426,0.1922,0.3002697508896797,False,not_significant
23024,0.0036972997361335237,0.4823,0.49239465116279074,False,not_significant
23025,0.0017702197815809334,0.4997,0.4996999999999999,False,not_significant
24001,0.13893210979281603,0.085,0.18912474747474747,False,not_significant
24002,0.004203088679261873,0.4947,0.49696407322654457,False,not_significant
24003,0.09908534936313108,0.3324,0.4029608815426997,False,not_significant
24004,-0.05139987061958178,0.1856,0.2962850909090909,False,not_significant
24005,0.1516071425097939,0.2092,0.3199517361111111,False,not_significant
24006,-0.05248421811846301,0.1608,0.27046436781609196,False,not_significant
24007,0.18218864833401147,0.2545,0.3535617088607595,False,not_significant
24008,-0.001872523504768365,0.4859,0.4939766203703704,False,not_significant
25001,0.6329980593164802,0.0137,0.057829807692307694,True,low-low
25002,0.2142399397916834,0.3316,0.4029608815426997,False,not_significant
25003,-0.545357731388093,0.1648,0.27508441064638783,False,not_significant
25004,-0.0378183316974134,0.4066,0.4507510101010101,False,not_significant
25005,0.7420554059701829,0.0151,0.062362616822429905,True,low-low
25006,0.35713133653382845,0.1054,0.2142157407407407,False,not_significant
25007,0.0910199451845858,0.0301,0.09861119402985073,True,low-low
25008,0.15742948654794667,0.235,0.33824590163934426,False,not_significant
25009,0.3615865723360274,0.183,0.2962850909090909,False,not_significant
25010,0.5517226505295785,0.1353,0.24342909836065574,False,not_significant
25011,0.08161047008808761,0.0533,0.1392779761904762,False,not_significant
25012,0.42969307552148966,0.1288,0.23771576763485477,False,not_significant
25013,0.5154528251876828,0.1514,0.2593003891050583,False,not_significant
25014,0.289107664487878,0.1077,0.21609223744292239,False,not_significant
25015,0.27782975851004543,0.0093,0.04536333333333333,True,low-low
25016,-0.00169928394105099,0.1513,0.2593003891050583,False,not_significant
26001,1.0017793153670047,0.0853,0.18912474747474747,False,not_significant
26002,1.2108224834408534,0.0022,0.018222641509433965,True,low-low
26003,1.8455667584127706,0.0005,0.008129629629629629,True,low-low
26004,2.440214089105046,0.0012,0.011972727272727272,True,low-low
26005,1.3660835379470366,0.03,0.09861119402985073,True,low-low
26006,1.183463918571351,0.0069,0.03522209302325582,True,low-low
26007,0.12637665285618727,0.3611,0.41424177545691904,False,not_significant
26008,2.5745612150701125,0.0006,0.008231249999999999,True,low-low
26009,-0.0440955619333097,0.1179,0.2259614718614719,False,not_significant
26010,2.0297203998158193,0.0021,0.017728846153846154,True,low-low
26011,-0.06536111800351595,0.4504,0.47077523809523814,False,not_significant
