release_id,method_version,geography_version,health_region_code,health_region_name,uf,municipality_count,population,area_km2,population_density,suicide_asmr,suicide_percentile,psychiatric_admission_rate,psychiatric_admission_percentile,caps_count,caps_rate,caps_percentile,mental_health_beds_sus_count,mental_health_beds_sus_rate,beds_percentile,psychiatrist_fte,psychiatrist_fte_rate,psychiatrist_fte_percentile,need_score,capacity_score,mismatch_score,lisa_local_i,lisa_p,lisa_q,lisa_significant,lisa_cluster,data_quality_flags
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,11001,Vale do Jamari,RO,9,236275,32147.43959812211,7.3497299615053011,9.2728701138297644,0.55936073059360736,58.840129815154512,0.32876712328767121,4,1.6929425457623533,0.38127853881278539,0,0,0.31278538812785389,1.5,0.6348534546608825,0.041095890410958902,0.44406392694063929,0.2450532724505326,0.19901065449010669,0.075472334754154338,0.4325,0.46196472019464724,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,11002,Café,RO,6,184948,16616.938586879991,11.13008867626356,8.8539732030156308,0.51141552511415522,70.543986623844603,0.4041095890410959,3,1.6220775569349222,0.34474885844748859,0,0,0.31278538812785389,8.625,4.6634729761879017,0.81963470319634701,0.45776255707762559,0.4923896499238965,-0.034627092846270913,-0.11252677800244401,0.040500000000000001,0.1177450331125828,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,11003,Central,RO,14,354543,38447.705279818889,9.221434606296226,9.3937404945870373,0.57762557077625576,74.139350070056992,0.43378995433789952,6,1.6923194083651349,0.37671232876712329,6,1.6923194083651349,0.73287671232876717,6.4499999999999993,1.8192433639925201,0.1894977168949771,0.50570776255707761,0.4330289193302892,0.072678843226788414,0.26198004269094433,0.0094999999999999998,0.045829670329670329,True,high-high,
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,11004,Madeira-Mamoré,RO,5,620294,81205.548161154613,7.63856674877694,7.2450183787840405,0.31278538812785389,124.38315638896056,0.67579908675799083,7,1.128497132005146,0.14611872146118721,0,0,0.31278538812785389,34.025000000000006,5.4853021309250138,0.89497716894977164,0.49429223744292239,0.4512937595129376,0.042998477929984791,0.090108255146826355,0.1081,0.21709452054794517,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,11005,Zona da Mata,RO,8,137958,19852.935701481863,6.9489974719306895,10.916264697293334,0.74200913242009137,105.60731439152828,0.60273972602739723,2,1.4497165804085299,0.26255707762557079,0,0,0.31278538812785389,2.3500000000000001,1.7034169819800231,0.1529680365296803,0.67237442922374435,0.24277016742770169,0.42960426179604266,0.86657710957012946,0.16600000000000001,0.27396240601503763,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,11006,Cone Sul,RO,7,168222,31663.372357556811,5.3128263818636476,9.3193473567200869,0.57077625570776258,134.35969209237228,0.70547945205479456,3,1.7833577058886472,0.40182648401826482,6,3.5667154117772943,0.85616438356164382,5.625,3.3437956985412129,0.591324200913242,0.63812785388127857,0.61643835616438358,0.02168949771689499,0.076085637665636432,0.046300000000000001,0.12739079754601229,False,not_significant,
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,11007,Vale do Guaporé,RO,3,43987,20642.425169237358,2.1309027228812334,11.753074927143366,0.83105022831050224,41.595764794857253,0.2031963470319634,0,0,0.0022831050228309998,0,0,0.31278538812785389,0,0,0.0068493150684931,0.51712328767123283,0.1073059360730593,0.40981735159817356,1.279966908329611,0.095200000000000007,0.20287766990291262,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,12001,Alto Acre,AC,4,75243,16451.771156851511,4.5735501231224136,8.3021006755044944,0.43835616438356162,45.694625505664789,0.2260273972602739,2,2.6580545698603193,0.72146118721461183,0,0,0.31278538812785389,0,0,0.0068493150684931,0.33219178082191775,0.34703196347031962,-0.014840182648401867,-0.12138919167668114,0.023699999999999999,0.083905645161290315,True,low-high,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,12002,Baixo Acre e Purus,AC,11,557753,70550.765740655959,7.9056973251048115,12.246122215681538,0.86301369863013699,176.1252328910127,0.79223744292237441,5,0.89645416519498777,0.082191780821917804,18,3.2272349947019556,0.82420091324200917,9.3750000000000018,1.6808515597406024,0.1484018264840182,0.82762557077625565,0.35159817351598172,0.47602739726027393,0.32292637529373402,0.37119999999999997,0.42326441558441558,False,not_significant,
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,12003,Juruá e Tarauacá/Envira,AC,7,247635,83900.131604308714,2.9515448338972883,10.993825798009423,0.74885844748858443,58.412244073732246,0.32420091324200911,5,2.0191006925515373,0.4954337899543379,0,0,0.31278538812785389,3,1.2114604155309223,0.093607305936072999,0.5365296803652968,0.30060882800608829,0.23592085235920851,1.043560406340573,0.015699999999999999,0.064414018691588776,True,high-high,ZERO_REGISTERED_BEDS
