health_region_code,health_region_name,uf,geography_version,population,person_years,suicide_asmr,psychiatric_admissions,psychiatric_admission_rate,caps_count,mental_health_beds_sus_count,psychiatrist_fte,caps_rate,mental_health_beds_sus_rate,psychiatrist_fte_rate,suicide_percentile,psychiatric_admission_percentile,caps_percentile,beds_percentile,psychiatrist_fte_percentile,need_score,capacity_score,mismatch_score,year,need_window_start,need_window_end,capacity_competence,temporal_version,release_id,quality_flags
11001,Vale do Jamari,RO,BR_HEALTH_REGIONS_END2024_V1,236265,709144,7.2729081898255412,331,46.675992464153971,3,0,2.5,1.269760650117453,0,1.0581338750978775,0.40182648401826482,0.32420091324200911,0.21689497716894976,0.32077625570776258,0.11187214611872145,0.36301369863013699,0.2165144596651446,0.1464992389649924,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,ZERO_REGISTERED_BEDS
11002,Café,RO,BR_HEALTH_REGIONS_END2024_V1,182736,545309,9.9396914970743211,259,47.496006851161454,3,0,4.625,1.641712634620436,0,2.5309736450398388,0.74429223744292239,0.33789954337899542,0.41552511415525112,0.32077625570776258,0.4908675799086758,0.54109589041095885,0.40905631659056318,0.13203957382039566,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,ZERO_REGISTERED_BEDS
11003,Central,RO,BR_HEALTH_REGIONS_END2024_V1,355910,1070229,7.1738928024946755,550,51.390870552003356,5,6,7.6000000000000005,1.4048495406142003,1.6858194487370401,2.1353713017335845,0.37671232876712329,0.35388127853881279,0.28995433789954339,0.74200913242009137,0.38127853881278539,0.36529680365296802,0.4710806697108067,-0.10578386605783868,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,
11004,Madeira-Mamoré,RO,BR_HEALTH_REGIONS_END2024_V1,611702,1821834,6.9544602370829374,1978,108.57191160116675,6,0,24.725000000000001,0.98086976992064767,0,4.0420008435480028,0.34931506849315069,0.67808219178082196,0.12100456621004566,0.32077625570776258,0.81278538812785384,0.51369863013698636,0.41818873668188733,0.095509893455099026,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,ZERO_REGISTERED_BEDS
11005,Zona da Mata,RO,BR_HEALTH_REGIONS_END2024_V1,138605,416949,12.519479593524878,224,53.723596890746833,2,0,1.8500000000000001,1.4429493885501965,0,1.334728184408932,0.90182648401826482,0.38127853881278539,0.30365296803652969,0.32077625570776258,0.15525114155251141,0.64155251141552516,0.25989345509893458,0.38165905631659058,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,ZERO_REGISTERED_BEDS
11006,Cone Sul,RO,BR_HEALTH_REGIONS_END2024_V1,165248,490616,9.8646594561572698,583,118.83020529293786,3,6,1.625,1.8154531371030207,3.6309062742060414,0.9833704492641363,0.73972602739726023,0.71004566210045661,0.4817351598173516,0.86757990867579904,0.098173515981735154,0.72488584474885842,0.48249619482496192,0.2423896499238965,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,
11007,Vale do Guaporé,RO,BR_HEALTH_REGIONS_END2024_V1,44182,132942,5.6789356588854778,21,15.796362323419237,0,0,0,0,0,0,0.21004566210045661,0.098173515981735154,0.0022831050228310501,0.32077625570776258,0.0057077625570776253,0.1541095890410959,0.1095890410958904,0.044520547945205491,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,SMALL_SUICIDE_COUNT|ZERO_REGISTERED_BEDS
12001,Alto Acre,AC,BR_HEALTH_REGIONS_END2024_V1,73592,218183,11.324424330371407,88,40.333114862294494,2,0,0,2.7176867050766389,0,0,0.84474885844748859,0.26712328767123289,0.78082191780821919,0.32077625570776258,0.0057077625570776253,0.55593607305936077,0.36910197869101974,0.18683409436834103,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,ZERO_REGISTERED_BEDS
12002,Baixo Acre e Purus,AC,BR_HEALTH_REGIONS_END2024_V1,554642,1658177,8.8734491453028479,2433,146.72740003027423,5,18,11.625,0.90148239765470339,3.2453366315569325,2.0959465745471855,0.61187214611872143,0.75799086757990863,0.091324200913242004,0.83561643835616439,0.37214611872146119,0.68493150684931503,0.4330289193302892,0.25190258751902583,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,
12003,Juruá e Tarauacá/Envira,AC,BR_HEALTH_REGIONS_END2024_V1,244332,728209,6.8355925150787034,313,42.982165834259121,3,0,1,1.2278375325376947,0,0.40927917751256482,0.33789954337899542,0.28995433789954339,0.19863013698630136,0.32077625570776258,0.022831050228310501,0.3139269406392694,0.18074581430745815,0.13318112633181126,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,ZERO_REGISTERED_BEDS
13001,"Manaus, Entorno e Alto Rio Negro",AM,BR_HEALTH_REGIONS_END2024_V1,2584129,7673208,6.470015184551368,1102,14.361659425888103,16,0,34.050000000000004,0.6191641361557414,0,1.3176586772564374,0.29908675799086759,0.082191780821917804,0.018264840182648401,0.32077625570776258,0.15296803652968036,0.1906392694063927,0.16400304414003045,0.026636225266362251,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,ZERO_REGISTERED_BEDS
13002,Rio Negro e Solimões,AM,BR_HEALTH_REGIONS_END2024_V1,287176,857073,5.7256838908659748,200,23.335235154998465,4,0,2.7999999999999998,1.3928740563278268,0,0.97501183942947867,0.21689497716894976,0.15068493150684931,0.28082191780821919,0.32077625570776258,0.095890410958904104,0.18378995433789952,0.23249619482496198,-0.048706240487062458,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,ZERO_REGISTERED_BEDS
13003,Rio Madeira,AM,BR_HEALTH_REGIONS_END2024_V1,197695,587275,4.0106636149057335,30,5.1083393640117487,5,0,4.125,2.5291484357216922,0,2.0865474594703963,0.061643835616438353,0.020547945205479451,0.73287671232876717,0.32077625570776258,0.36757990867579909,0.041095890410958902,0.47374429223744291,-0.43264840182648401,2022,2020,2022,2022-12,MDB_TEMPORAL_2022_2024_1,MDB_ANALYTICAL_2024_2,ZERO_REGISTERED_BEDS
