origin_region,destination_region,admissions,flow_version,contribution_id
12002,12002,18,MDB_HOSPITAL_FLOW_METHOD_1.0,201
12003,12003,9,MDB_HOSPITAL_FLOW_METHOD_1.0,202
12003,12002,36,MDB_HOSPITAL_FLOW_METHOD_1.0,203
12003,12003,42,MDB_HOSPITAL_FLOW_METHOD_1.0,204
12001,12002,24,MDB_HOSPITAL_FLOW_METHOD_1.0,205
12001,12001,14,MDB_HOSPITAL_FLOW_METHOD_1.0,206
12002,12002,31,MDB_HOSPITAL_FLOW_METHOD_1.0,207
13001,13001,11,MDB_HOSPITAL_FLOW_METHOD_1.0,218
13001,13001,14,MDB_HOSPITAL_FLOW_METHOD_1.0,219
13005,13005,21,MDB_HOSPITAL_FLOW_METHOD_1.0,220
13005,13005,17,MDB_HOSPITAL_FLOW_METHOD_1.0,221
13002,13001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,223
13006,12002,27,MDB_HOSPITAL_FLOW_METHOD_1.0,225
13007,13007,28,MDB_HOSPITAL_FLOW_METHOD_1.0,229
13002,13002,90,MDB_HOSPITAL_FLOW_METHOD_1.0,233
13007,12002,10,MDB_HOSPITAL_FLOW_METHOD_1.0,236
13007,12003,7,MDB_HOSPITAL_FLOW_METHOD_1.0,238
13003,11004,25,MDB_HOSPITAL_FLOW_METHOD_1.0,239
13003,13003,12,MDB_HOSPITAL_FLOW_METHOD_1.0,240
13007,12003,7,MDB_HOSPITAL_FLOW_METHOD_1.0,243
13007,12002,13,MDB_HOSPITAL_FLOW_METHOD_1.0,244
13001,13001,12,MDB_HOSPITAL_FLOW_METHOD_1.0,248
13004,13001,21,MDB_HOSPITAL_FLOW_METHOD_1.0,250
13006,11004,6,MDB_HOSPITAL_FLOW_METHOD_1.0,257
13002,13002,160,MDB_HOSPITAL_FLOW_METHOD_1.0,259
13002,13001,12,MDB_HOSPITAL_FLOW_METHOD_1.0,260
13001,13001,1254,MDB_HOSPITAL_FLOW_METHOD_1.0,265
13001,35016,5,MDB_HOSPITAL_FLOW_METHOD_1.0,273
13001,52001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,277
13005,13005,25,MDB_HOSPITAL_FLOW_METHOD_1.0,284
13005,13005,5,MDB_HOSPITAL_FLOW_METHOD_1.0,285
13005,13005,352,MDB_HOSPITAL_FLOW_METHOD_1.0,290
13006,12002,7,MDB_HOSPITAL_FLOW_METHOD_1.0,291
13001,13001,11,MDB_HOSPITAL_FLOW_METHOD_1.0,292
13001,13001,12,MDB_HOSPITAL_FLOW_METHOD_1.0,294
13009,13009,5,MDB_HOSPITAL_FLOW_METHOD_1.0,295
13001,13001,9,MDB_HOSPITAL_FLOW_METHOD_1.0,297
13009,13009,7,MDB_HOSPITAL_FLOW_METHOD_1.0,298
13008,13008,12,MDB_HOSPITAL_FLOW_METHOD_1.0,305
14001,14001,491,MDB_HOSPITAL_FLOW_METHOD_1.0,315
14001,14001,16,MDB_HOSPITAL_FLOW_METHOD_1.0,320
14001,14001,8,MDB_HOSPITAL_FLOW_METHOD_1.0,321
14002,14001,6,MDB_HOSPITAL_FLOW_METHOD_1.0,322
14002,14001,12,MDB_HOSPITAL_FLOW_METHOD_1.0,331
14002,14002,9,MDB_HOSPITAL_FLOW_METHOD_1.0,332
14002,14001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,333
15011,15006,187,MDB_HOSPITAL_FLOW_METHOD_1.0,337
15007,15006,46,MDB_HOSPITAL_FLOW_METHOD_1.0,338
15001,15001,32,MDB_HOSPITAL_FLOW_METHOD_1.0,340
15002,15002,22,MDB_HOSPITAL_FLOW_METHOD_1.0,344
15014,15006,23,MDB_HOSPITAL_FLOW_METHOD_1.0,349
15006,15006,1335,MDB_HOSPITAL_FLOW_METHOD_1.0,351
15009,15009,150,MDB_HOSPITAL_FLOW_METHOD_1.0,361
15008,15006,19,MDB_HOSPITAL_FLOW_METHOD_1.0,363
15011,15006,20,MDB_HOSPITAL_FLOW_METHOD_1.0,365
15001,15001,14,MDB_HOSPITAL_FLOW_METHOD_1.0,366
15011,15006,219,MDB_HOSPITAL_FLOW_METHOD_1.0,367
15006,15006,3831,MDB_HOSPITAL_FLOW_METHOD_1.0,370
15006,33005,7,MDB_HOSPITAL_FLOW_METHOD_1.0,379
15006,15006,160,MDB_HOSPITAL_FLOW_METHOD_1.0,386
15009,15009,31,MDB_HOSPITAL_FLOW_METHOD_1.0,390
15009,15006,12,MDB_HOSPITAL_FLOW_METHOD_1.0,391
15009,15009,738,MDB_HOSPITAL_FLOW_METHOD_1.0,392
15004,15006,31,MDB_HOSPITAL_FLOW_METHOD_1.0,395
15014,15006,29,MDB_HOSPITAL_FLOW_METHOD_1.0,398
15014,15014,14,MDB_HOSPITAL_FLOW_METHOD_1.0,399
15007,15006,26,MDB_HOSPITAL_FLOW_METHOD_1.0,400
15009,15009,47,MDB_HOSPITAL_FLOW_METHOD_1.0,402
15013,15006,9,MDB_HOSPITAL_FLOW_METHOD_1.0,403
15011,15006,78,MDB_HOSPITAL_FLOW_METHOD_1.0,404
15003,15003,72,MDB_HOSPITAL_FLOW_METHOD_1.0,406
15003,15003,8,MDB_HOSPITAL_FLOW_METHOD_1.0,408
15009,15009,220,MDB_HOSPITAL_FLOW_METHOD_1.0,412
15008,15006,71,MDB_HOSPITAL_FLOW_METHOD_1.0,414
15008,15006,269,MDB_HOSPITAL_FLOW_METHOD_1.0,417
15008,15009,5,MDB_HOSPITAL_FLOW_METHOD_1.0,418
15001,15006,5,MDB_HOSPITAL_FLOW_METHOD_1.0,424
15007,15006,49,MDB_HOSPITAL_FLOW_METHOD_1.0,428
15003,15003,21,MDB_HOSPITAL_FLOW_METHOD_1.0,431
15014,15006,13,MDB_HOSPITAL_FLOW_METHOD_1.0,434
15008,15006,39,MDB_HOSPITAL_FLOW_METHOD_1.0,435
15003,15006,16,MDB_HOSPITAL_FLOW_METHOD_1.0,436
15003,15003,6,MDB_HOSPITAL_FLOW_METHOD_1.0,437
15003,15003,9,MDB_HOSPITAL_FLOW_METHOD_1.0,440
15003,15003,5,MDB_HOSPITAL_FLOW_METHOD_1.0,442
15008,15006,53,MDB_HOSPITAL_FLOW_METHOD_1.0,448
15008,15006,42,MDB_HOSPITAL_FLOW_METHOD_1.0,453
15011,15006,73,MDB_HOSPITAL_FLOW_METHOD_1.0,455
15011,15011,9,MDB_HOSPITAL_FLOW_METHOD_1.0,457
15008,15006,10,MDB_HOSPITAL_FLOW_METHOD_1.0,458
15008,15006,31,MDB_HOSPITAL_FLOW_METHOD_1.0,459
15008,15006,26,MDB_HOSPITAL_FLOW_METHOD_1.0,462
15003,15006,7,MDB_HOSPITAL_FLOW_METHOD_1.0,471
15003,15003,12,MDB_HOSPITAL_FLOW_METHOD_1.0,473
15004,15006,8,MDB_HOSPITAL_FLOW_METHOD_1.0,474
15008,15006,29,MDB_HOSPITAL_FLOW_METHOD_1.0,480
15008,15008,6,MDB_HOSPITAL_FLOW_METHOD_1.0,481
15008,15006,7,MDB_HOSPITAL_FLOW_METHOD_1.0,482
15003,15003,298,MDB_HOSPITAL_FLOW_METHOD_1.0,485
15008,15006,28,MDB_HOSPITAL_FLOW_METHOD_1.0,488
15008,15006,13,MDB_HOSPITAL_FLOW_METHOD_1.0,490
15006,15006,233,MDB_HOSPITAL_FLOW_METHOD_1.0,493
15011,15006,25,MDB_HOSPITAL_FLOW_METHOD_1.0,499
15011,15006,81,MDB_HOSPITAL_FLOW_METHOD_1.0,500
15002,15006,40,MDB_HOSPITAL_FLOW_METHOD_1.0,503
15002,15002,39,MDB_HOSPITAL_FLOW_METHOD_1.0,504
15013,15006,11,MDB_HOSPITAL_FLOW_METHOD_1.0,505
15008,15006,47,MDB_HOSPITAL_FLOW_METHOD_1.0,507
