release_id,geography_version,intelligence_version,radar_ruleset_version,decomposition_version,peer_method_version,health_region_code,health_region_name,uf,need_high,capacity_low,mismatch_marked_positive,capacity_component_low,spatial_hh_mismatch,zero_registered_beds,small_suicide_count,matched_signal_families,suicide_contribution,admissions_contribution,caps_contribution,beds_contribution,psychiatrist_contribution,decomposition_sum
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31074,Patrocínio/Monte Carmelo,MG,False,False,False,False,False,False,False,0,0.16666666666666669,0.071917808219178092,0.0060882800608828003,-0.15601217656012173,-0.020547945205479458,0.068112633181126397
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31075,Uberlândia/Araguari,MG,False,False,False,True,False,False,False,1,0.0022831050228310779,0.045662100456621002,0.11263318112633183,-0.11719939117199392,-0.10882800608828005,-0.065449010654490061
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31076,Manga,MG,True,False,True,False,False,True,False,2,0.22374429223744291,0.11529680365296802,-0.16362252663622526,0.062404870624048703,0.030441400304414001,0.2682648401826484
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31077,João Pinheiro,MG,False,False,False,True,False,True,False,1,0.2180365296803653,-0.22945205479452055,0.095129375951293754,0.062404870624048703,-0.0091324200913242004,0.13698630136986301
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31078,Congonhas,MG,False,False,False,False,False,False,False,0,-0.013698630136986301,0.022831050228310501,-0.10502283105022832,-0.060882800608828003,-0.16133942161339421,-0.31811263318112631
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31079,Conselheiro Lafaiete,MG,False,False,False,False,False,False,False,0,-0.036529680365296802,-0.20319634703196349,-0.0045662100456621184,-0.10578386605783865,0.022070015220700158,-0.32800608828006089
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31082,São Gotardo,MG,False,False,False,False,False,True,False,0,0.2454337899543379,-0.10616438356164384,0.020547945205479458,0.062404870624048703,0.0060882800608828003,0.22831050228310501
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31083,Bocaiúva,MG,False,False,False,True,False,False,False,1,-0.003424657534246589,0.086757990867579904,-0.072298325722983253,-0.14231354642313546,0.092846270928462718,-0.038432267884322677
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31084,Montes Claros,MG,False,False,False,True,False,False,False,1,-0.084474885844748854,0.19748858447488582,0.12633181126331811,-0.11415525114155252,-0.15068493150684931,-0.025494672754946768
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31085,Taiobeiras,MG,False,False,False,False,False,True,False,0,-0.2089041095890411,-0.011415525114155251,-0.12557077625570773,0.062404870624048703,0.027397260273972601,-0.25608828006088274
