health_region_code,delta_need_score,delta_capacity_score,delta_mismatch_score,delta_suicide_percentile,delta_psychiatric_admission_percentile,delta_caps_percentile,delta_beds_percentile,delta_psychiatrist_fte_percentile,NEED_POSITION_UP,CAPACITY_POSITION_DOWN,MISMATCH_POSITION_UP,NEED_COMPONENT_POSITION_UP,CAPACITY_COMPONENT_POSITION_DOWN,matched_change_families,from_year,to_year,change_version
11001,-0.023972602739726012,-0.03614916286149164,0.012176560121765628,-0.084474885844748826,0.036529680365296802,-0.022831050228310501,-0.003424657534246589,-0.082191780821917804,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
11002,-0.076484018264840137,-0.0064687975646879892,-0.070015220700152148,-0.15981735159817356,0.0068493150684931781,-0.047945205479452024,-0.003424657534246589,0.031963470319634757,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
11003,0.10844748858447495,-0.015220700152207001,0.12366818873668195,0.16666666666666669,0.050228310502283102,0.11643835616438353,-0.0022831050228311334,-0.15981735159817353,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
11004,0.010273972602739656,-0.0019025875190258335,0.01217656012176549,0.011415525114155223,0.0091324200913242004,-0.018264840182648401,-0.003424657534246589,0.015981735159817378,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
11005,-0.0022831050228311334,-0.017123287671232917,0.014840182648401812,-0.095890410958904049,0.091324200913242004,-0.029680365296803679,-0.003424657534246589,-0.018264840182648401,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
11006,-0.075342465753424626,0.092085235920852326,-0.16742770167427695,-0.13926940639269403,-0.011415525114155223,-0.04337899543378998,-0.006849315068493067,0.32648401826484019,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
11007,0.087899543378995415,-0.00076103500761033616,0.088660578386605737,0.15753424657534248,0.018264840182648401,0,-0.003424657534246589,0.0011415525114155251,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
12001,-0.10616438356164387,0.04337899543378998,-0.14954337899543385,-0.15753424657534243,-0.05479452054794523,0.13242009132420085,-0.003424657534246589,0.0011415525114155251,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
12002,0.038812785388127935,-0.041095890410958902,0.079908675799086837,0.084474885844748937,-0.006849315068493067,0.047945205479452052,-0.0022831050228310223,-0.16894977168949774,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
12003,0.19178082191780821,0.065068493150684914,0.12671232876712332,0.33789954337899542,0.045662100456621002,0.16210045662100456,-0.003424657534246589,0.036529680365296802,True,False,False,True,False,2,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
13001,-0.023972602739726012,-0.0019025875190258612,-0.022070015220700151,-0.045662100456621002,-0.0022831050228310501,-0.0022831050228310501,-0.003424657534246589,0,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
13002,-0.037671232876712313,-0.013318112633181139,-0.024353120243531173,-0.084474885844748854,0.0091324200913242004,-0.029680365296803679,-0.003424657534246589,-0.0068493150684931503,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
13003,0,-0.064307458143074592,0.064307458143074592,0.0045662100456621002,-0.0045662100456621002,-0.050228310502283158,-0.003424657534246589,-0.13926940639269408,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
13004,0.0079908675799086754,-0.0019025875190258751,0.0098934550989345504,0.015981735159817351,0,-0.0022831050228310501,-0.003424657534246589,0,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
13005,0.090182648401826493,-0.018645357686453562,0.10882800608828005,0.082191780821917804,0.098173515981735154,-0.022831050228310501,-0.003424657534246589,-0.029680365296803651,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
13006,-0.0011415525114155251,-0.010273972602739739,0.0091324200913242282,0.0045662100456621002,-0.0068493150684931503,-0.031963470319634701,-0.003424657534246589,0.0045662100456621002,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
13007,0.011415525114155223,-0.014840182648401812,0.026255707762557035,0.041095890410958846,-0.018264840182648401,-0.041095890410958902,-0.003424657534246589,0,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
13008,-0.1860730593607306,-0.012557077625570776,-0.17351598173515981,-0.37214611872146119,0,-0.0045662100456621002,-0.003424657534246589,-0.029680365296803651,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
13009,0.0045662100456621002,-0.0019025875190258751,0.0064687975646879892,0.0091324200913242004,0,0,-0.003424657534246589,-0.0022831050228310501,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
14001,0.035388127853881235,-0.067732115677321181,0.10312024353120242,0.086757990867579848,-0.015981735159817351,-0.057077625570776225,-0.0091324200913242004,-0.13698630136986301,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
14002,0.039954337899543377,0.040715372907153768,-0.0007610350076104333,0.054794520547945202,0.025114155251141551,-0.066210045662100425,-0.003424657534246589,0.19178082191780821,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
15001,0.12214611872146119,-0.014079147640791434,0.13622526636225263,0.18493150684931514,0.05936073059360733,-0.041095890410958846,-0.003424657534246589,0.0022831050228310501,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
15002,0.065068493150684942,0.0026636225266362112,0.062404870624048731,0.12785388127853881,0.0022831050228310501,0.0068493150684931503,-0.003424657534246589,0.0045662100456621002,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
15003,0.012557077625570789,0.0038051750380517779,0.0087519025875190115,0.022831050228310501,0.0022831050228310223,0.015981735159817351,-0.0045662100456621557,0,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
15004,0.022831050228310515,-0.013318112633181167,0.036149162861491668,0.050228310502283102,-0.0045662100456621002,-0.034246575342465779,-0.003424657534246589,-0.0022831050228310501,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
15006,0.0022831050228310223,-0.02245053272450534,0.024733637747336362,0.0091324200913242004,-0.0045662100456621557,-0.0022831050228310501,-0.003424657534246589,-0.061643835616438353,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
15007,-0.011415525114155251,0.029299847792998546,-0.040715372907153796,0.0068493150684931503,-0.029680365296803651,0.18036529680365304,-0.003424657534246589,-0.089041095890410954,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
