flow_version,health_region_code,total_admissions,within_region_share,outflow_share,cross_state_outflow_share,nonsuppressed_destinations,unit
MDB_HOSPITAL_FLOW_METHOD_1.0,17008,273,0.59706959706959706,0.40293040293040294,0.054945054945054944,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21001,298,0.093959731543624164,0.90604026845637586,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21002,562,0.13701067615658363,0.86298932384341642,0.032028469750889681,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21003,145,0.1310344827586207,0.86896551724137927,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21004,252,0.1388888888888889,0.86111111111111116,0.01984126984126984,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21005,271,0.036900369003690037,0.96309963099630991,0.13653136531365315,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21006,498,0.020080321285140562,0.97991967871485941,0.056224899598393573,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21007,818,0.39242053789731052,0.60757946210268954,0.019559902200488997,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21008,328,0.62804878048780488,0.37195121951219512,0.03048780487804878,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21009,915,0.016393442622950821,0.98360655737704916,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21010,459,0.13289760348583879,0.86710239651416121,0.015250544662309368,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21011,708,0.093220338983050849,0.90677966101694918,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21012,584,0.1386986301369863,0.86130136986301364,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21013,761,0.010512483574244415,0.98948751642575561,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21014,1005,0.17910447761194029,0.82089552238805974,,2,AIHs/admissions; not unique patients
