release_id,peer_method_version,health_region_code,peer_health_region_code,peer_rank,structural_distance
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11006,50013,4,0.36376888177889721
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11006,13004,5,0.40780733018237764
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11006,50016,6,0.44726641156365382
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11006,29008,7,0.46901971702468354
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11006,50015,8,0.51491183367994875
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11006,12003,9,0.53674539360083295
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11006,11002,10,0.54435719068407451
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11007,51016,1,0.53180449779587879
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11007,31077,2,0.72259445915885978
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11007,22007,3,0.82663115266594023
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11007,52006,4,0.82914069657557543
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11007,12001,5,0.83665999743375374
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11007,16002,6,0.95964709720350072
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11007,51009,7,1.0219596160372246
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11007,31066,8,1.0854342627841467
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11007,31050,9,1.0974784605033774
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,11007,51010,10,1.2029745623215748
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12001,31077,1,0.4411664879564845
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12001,51015,2,0.53789782444433887
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12001,22007,3,0.63457383946002088
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12001,31053,4,0.64249405141722848
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12001,31076,5,0.65963910584218377
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12001,51016,6,0.69072231954162744
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12001,31051,7,0.69625334013295248
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12001,31100,8,0.69924288212762586
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12001,31050,9,0.74916347135255745
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12001,52006,10,0.754609094651152
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12002,29016,1,0.20947233838667675
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12002,43003,2,0.30242584924431121
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12002,14001,3,0.43475186369208996
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12002,51014,4,0.44388297936235127
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12002,29002,5,0.5811197401100382
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12002,17006,6,0.66417558099517593
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12002,11003,7,0.66517260129976941
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12002,29021,8,0.68824526086579629
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12002,50012,9,0.70452915011274397
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12002,31058,10,0.76026357114923737
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12003,13002,1,0.37451808644067403
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12003,13004,2,0.38063118116584699
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12003,15010,3,0.44688323585901862
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12003,15014,4,0.49522088854453383
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12003,50013,5,0.50884319979040282
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12003,11006,6,0.53674539360083295
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12003,50014,7,0.55253063004355363
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12003,13005,8,0.57402378374543817
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12003,13009,9,0.60535282841433891
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,12003,15013,10,0.63696743721654381
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13001,51002,1,1.1268669350814216
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13001,15003,2,1.3024371058970814
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13001,50011,3,1.3174871600773632
